"curation_id","original_fmt_id","original_fmt_role","curated_fmt_role","curated_fmt_id","curated_fmt_id_source","curated_fmt_role_source"
"AsnicarF_2021:SAMEA7045040",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045041",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045042",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045043",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045044",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045045",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045046",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045047",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045048",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045049",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045050",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045051",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045052",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045053",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045054",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045055",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045056",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045057",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045058",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045059",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045060",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045061",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045062",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045063",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045064",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045065",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045066",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045067",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045068",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045069",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045070",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045071",NA,NA,NA,NA,NA,NA
