"curation_id","curated_body_site","curated_body_site_ontology_term_id","curated_body_subsite","curated_body_subsite_ontology_term_id","curated_body_subsite_source"
"AsnicarF_2021:SAMEA7041257","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041258","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041259","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041260","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041261","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041262","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041263","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041264","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041265","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041266","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041267","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041268","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041269","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041270","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041271","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041272","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041273","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041274","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041275","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041276","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041277","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041278","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041279","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041280","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045002","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045003","feces","UBERON:0001988",NA,NA,NA
