"curation_id","original_westernized","curated_westernized","curated_westernized_source"
"AsnicarF_2021:SAMEA7045089","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045090","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045091","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045092","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045093","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045094","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045095","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045096","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045097","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045098","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045099","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045100","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045101","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045102","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045103","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045104","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045105","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045106","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045107","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045108","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045109","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045110","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045111","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045112","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045113","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045114","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045115","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045116","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045117","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045118","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045119","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045120","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045121","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045122","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045123","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045124","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045125","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045126","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045127","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045128","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045129","no","Yes","non_westernized"
